	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_1	0	0	0	0	0	258	0	0	0	1565	2885	0	0	0	1069	0	0	1266	0	0	3696	2572	2273	0	0	1936
OTU_2	2936	40	0	2436	0	0	2132	0	0	2283	3407	0	0	66	0	825	0	0	2067	0	0	2611	0	0	719	0
OTU_3	0	2493	0	0	1875	1032	2662	0	594	0	2917	3243	0	0	2862	923	3060	0	589	2305	4607	0	1880	251	0	3490
OTU_4	1233	0	632	42	0	0	911	0	1924	0	0	0	0	0	0	0	0	2378	1673	2157	0	0	0	0	709	0
OTU_5	2212	0	611	0	0	2123	0	5000	0	887	0	0	0	5144	0	0	2757	144	1122	2491	0	2933	2161	0	50	3200
OTU_6	243	0	0	0	0	2196	0	0	3001	144	863	0	0	548	0	0	0	0	0	0	575	520	0	0	905	0
OTU_7	801	0	0	0	0	0	340	0	0	1146	0	0	0	0	0	1232	333	1150	0	0	408	2349	638	1633	0	0
OTU_8	2385	0	63	3480	2138	2238	1557	0	0	0	0	0	0	0	2341	0	0	0	3075	0	0	0	2192	0	0	794
OTU_9	2859	0	0	3134	0	839	0	0	1964	0	1796	257	0	0	0	0	1346	0	1871	0	0	3061	215	0	0	2145
OTU_10	0	4771	214	1456	3328	0	0	0	1093	1655	0	0	0	0	264	0	0	2893	873	1874	0	3090	0	0	5469	2661
OTU_11	966	2695	1591	0	0	807	0	713	0	0	1384	0	3493	0	0	2389	0	3294	0	1840	207	0	0	0	0	0
OTU_12	1138	5061	0	2060	0	0	0	3762	1371	570	602	0	4689	0	70	0	1974	2191	2892	3166	1306	45	0	1550	0	2540
OTU_13	0	440	541	0	0	0	0	0	0	0	0	0	0	0	0	3408	1777	0	0	1688	2178	1857	0	0	384	0
OTU_14	0	0	0	0	3571	0	0	0	709	0	0	114	0	0	0	1683	0	0	1764	0	0	0	75	0	0	1632
OTU_15	977	2663	0	0	0	0	2958	0	1046	0	0	0	4795	154	1700	1558	0	0	0	0	1955	694	0	1195	0	0
OTU_16	586	4528	0	0	0	3242	0	0	404	2103	2481	0	718	0	2578	0	0	1762	0	351	0	0	3554	2048	0	1334
OTU_17	2714	0	0	3202	3513	0	2240	0	0	2858	0	0	0	5177	0	0	1900	1530	0	0	0	0	518	1324	0	0
OTU_18	0	0	0	3847	0	384	0	0	1194	0	3453	0	0	0	0	0	1220	0	0	0	0	0	97	1437	4411	0
OTU_19	0	0	0	0	0	0	2324	0	0	1114	314	0	0	0	2670	0	1740	0	0	207	0	1073	0	959	2281	0
OTU_20	755	0	0	3294	2411	2778	795	0	732	2094	0	0	0	2468	0	865	0	1509	0	0	0	287	846	0	0	156
OTU_21	1992	0	3703	0	1065	0	0	0	805	1283	0	166	0	0	988	3251	0	0	0	187	918	2557	0	0	0	3215
OTU_22	0	0	0	3926	2000	0	0	0	2880	199	0	0	0	4991	3764	0	0	2014	0	0	0	0	0	2760	0	2173
OTU_23	0	0	1828	0	0	0	0	0	0	1302	0	0	3355	0	401	911	930	3070	2539	0	0	0	3842	0	0	0
OTU_24	1635	2844	0	0	1587	0	462	5492	985	0	0	0	0	0	0	944	1325	0	0	0	0	245	0	0	0	0
