	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_1	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	576.0	1067.0	0.0	0.0	0.0	389.0	0.0	0.0	497.0	0.0	0.0	1402.0	936.0	856.0	0.0	0.0	727.0
OTU_2	1065.0	20.0	0.0	884.0	0.0	0.0	727.0	0.0	0.0	812.0	1260.0	0.0	0.0	25.0	0.0	324.0	0.0	0.0	702.0	0.0	0.0	949.0	0.0	0.0	247.0	0.0
OTU_3	0.0	950.0	0.0	0.0	709.0	367.0	995.0	0.0	213.0	0.0	1020.0	1152.0	0.0	0.0	1045.0	334.0	1103.0	0.0	219.0	853.0	1608.0	0.0	685.0	100.0	0.0	1217.0
OTU_4	423.0	0.0	247.0	15.0	0.0	0.0	329.0	0.0	696.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	851.0	599.0	781.0	0.0	0.0	0.0	0.0	269.0	0.0
OTU_5	824.0	0.0	214.0	0.0	0.0	702.0	0.0	1759.0	0.0	335.0	0.0	0.0	0.0	1817.0	0.0	0.0	1022.0	44.0	452.0	891.0	0.0	1039.0	784.0	0.0	18.0	1163.0
OTU_6	88.0	0.0	0.0	0.0	0.0	809.0	0.0	0.0	1162.0	52.0	341.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	189.0	0.0	0.0	374.0	0.0
OTU_7	282.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	441.0	123.0	442.0	0.0	0.0	141.0	899.0	252.0	584.0	0.0	0.0
OTU_8	900.0	0.0	27.0	1342.0	768.0	827.0	588.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	0.0	0.0	0.0	1176.0	0.0	0.0	0.0	862.0	0.0	0.0	327.0
OTU_9	1060.0	0.0	0.0	1193.0	0.0	294.0	0.0	0.0	739.0	0.0	670.0	92.0	0.0	0.0	0.0	0.0	465.0	0.0	723.0	0.0	0.0	1120.0	62.0	0.0	0.0	777.0
OTU_10	0.0	1768.0	71.0	523.0	1168.0	0.0	0.0	0.0	428.0	635.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	1043.0	275.0	689.0	0.0	1158.0	0.0	0.0	1973.0	901.0
